run_accession	study_accession	sample_accession	experiment_accession	tax_id	scientific_name	library_source	fastq_ftp	submitted_ftp	sra_ftp	sample_title	bam_ftp
SRR32802187	PRJNA1240053	SAMN47499621	SRX28086137	447426	human oral metagenome	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/087/SRR32802187/SRR32802187_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/087/SRR32802187/SRR32802187_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR328/087/SRR32802187/SRR32802187.lite	Healthy 10	
SRR32802191	PRJNA1240053	SAMN47499671	SRX28086133	447426	human oral metagenome	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/091/SRR32802191/SRR32802191_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/091/SRR32802191/SRR32802191_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR328/091/SRR32802191/SRR32802191.lite	Type 2 diabetes mellitus_Periodontitis 20	
SRR32802194	PRJNA1240053	SAMN47499668	SRX28086130	447426	human oral metagenome	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/094/SRR32802194/SRR32802194_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/094/SRR32802194/SRR32802194_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR328/094/SRR32802194/SRR32802194.lite	Type 2 diabetes mellitus_Periodontitis 17	
SRR32802198	PRJNA1240053	SAMN47499664	SRX28086126	447426	human oral metagenome	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/098/SRR32802198/SRR32802198_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/098/SRR32802198/SRR32802198_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR328/098/SRR32802198/SRR32802198.lite	Type 2 diabetes mellitus_Periodontitis 13	
SRR32802202	PRJNA1240053	SAMN47499661	SRX28086122	447426	human oral metagenome	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/002/SRR32802202/SRR32802202_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/002/SRR32802202/SRR32802202_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR328/002/SRR32802202/SRR32802202.lite	Type 2 diabetes mellitus_Periodontitis 10	
SRR32802203	PRJNA1240053	SAMN47499660	SRX28086121	447426	human oral metagenome	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/003/SRR32802203/SRR32802203_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/003/SRR32802203/SRR32802203_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR328/003/SRR32802203/SRR32802203.lite	Type 2 diabetes mellitus_Periodontitis 9	
SRR32802205	PRJNA1240053	SAMN47499658	SRX28086119	447426	human oral metagenome	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/005/SRR32802205/SRR32802205_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/005/SRR32802205/SRR32802205_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR328/005/SRR32802205/SRR32802205.lite	Type 2 diabetes mellitus_Periodontitis 7	
SRR32802206	PRJNA1240053	SAMN47499657	SRX28086118	447426	human oral metagenome	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/006/SRR32802206/SRR32802206_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/006/SRR32802206/SRR32802206_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR328/006/SRR32802206/SRR32802206.lite	Type 2 diabetes mellitus_Periodontitis 6	
SRR32802207	PRJNA1240053	SAMN47499656	SRX28086117	447426	human oral metagenome	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/007/SRR32802207/SRR32802207_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/007/SRR32802207/SRR32802207_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR328/007/SRR32802207/SRR32802207.lite	Type 2 diabetes mellitus_Periodontitis 5	
SRR32802209	PRJNA1240053	SAMN47499654	SRX28086115	447426	human oral metagenome	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/009/SRR32802209/SRR32802209_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/009/SRR32802209/SRR32802209_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR328/009/SRR32802209/SRR32802209.lite	Type 2 diabetes mellitus_Periodontitis 3	
