id,(Intercept),GroupP,GroupT2DM,GroupT2DM_P
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus,0.15552755548171757,0.22374627656034024,0.20824710408991629,0.27436397830478587
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Veillonella,0.2627013760671791,0.3733077830378947,0.3434633485425224,0.3525958191718112
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae;g__Leptotrichia,0.2713890005709122,0.37078809482343594,0.33949856071045637,0.33533491823296063
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella_7,0.6475541363380676,0.6762639028085711,0.6920066755160976,0.7098024400951928
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Selenomonadaceae;g__Selenomonas,0.3902362411145888,0.5783946100913766,0.4719601742942687,0.5053909773890625
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Neisseria,0.2873905766682009,0.4688990573917463,0.4408217523656547,0.401676970228447
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces,0.35969264421403707,0.4896271808794318,0.39159717714702236,0.3943436858129091
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium,0.38075898513550654,0.49343157794770853,0.41934036292904336,0.449140702319539
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium,0.3609509163021321,0.5095898034214483,0.47877099380435045,0.4359736607907805
d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Saccharimonadaceae,0.2760420867814408,0.4513774927515767,0.3297748849780249,0.34071450314160484
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Tannerella,0.36572690817616194,0.4366091621177658,0.5286081442922046,0.5644891119487936
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;__,0.37082077824678605,0.7780154397076575,0.5042584365911382,0.5442014684129681
