.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR32802187_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR32802187_2	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR32802188_1	1	1	1	1	0.25	0.5	1	1	0.25	0.25	1
SRR32802188_2	1	1	1	1	0.25	0.5	1	1	0.25	0.25	1
SRR32802189_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR32802189_2	1	1	1	1	0.25	0.5	1	1	0.25	0.25	1
SRR32802190_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR32802190_2	1	1	1	1	0.25	0.5	1	1	0.25	0.25	1
SRR32802191_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR32802191_2	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR32802192_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR32802192_2	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR32802193_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR32802193_2	1	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1
SRR32802194_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR32802194_2	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR32802195_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR32802195_2	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR32802196_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR32802196_2	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR32802197_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR32802197_2	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR32802198_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR32802198_2	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR32802199_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR32802199_2	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR32802200_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR32802200_2	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR32802201_1	1	1	1	1	0.25	0.5	1	1	0.25	0.25	1
SRR32802201_2	1	1	1	1	0.25	0.5	1	1	0.25	0.25	1
SRR32802202_1	1	1	1	1	0.25	0.5	1	1	0.25	0.25	1
SRR32802202_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR32802203_1	1	1	1	1	0.25	0.5	1	1	0.25	0.25	1
SRR32802203_2	1	1	1	1	0.25	0.5	1	1	0.25	0.25	1
SRR32802204_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR32802204_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR32802205_1	1	1	1	1	0.25	0.5	1	1	0.25	0.25	1
SRR32802205_2	1	1	1	1	0.25	0.5	1	1	0.25	0.25	1
SRR32802206_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR32802206_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR32802207_1	1	1	1	1	0.25	0.5	1	1	0.25	0.25	1
SRR32802207_2	1	1	1	1	0.25	0.5	1	1	0.25	0.25	1
SRR32802208_1	1	1	1	1	0.25	0.5	1	1	0.25	0.25	1
