Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65
SRR32802188_1 - nextera_transposase_sequence	(1, 0.0)	(2, 0.000717154331612163)	(3, 0.000717154331612163)	(4, 0.000717154331612163)	(5, 0.000717154331612163)	(6, 0.000717154331612163)	(7, 0.000717154331612163)	(8, 0.000717154331612163)	(9, 0.000717154331612163)	(10, 0.00444635685599541)	(15, 0.016781411359724614)	(20, 0.018646012621916237)	(25, 0.018646012621916237)	(30, 0.018646012621916237)	(35, 0.018646012621916237)	(40, 0.018646012621916237)	(45, 0.018646012621916237)	(50, 0.018646012621916237)	(55, 0.018646012621916237)	(60, 0.018646012621916237)	(65, 0.018646012621916237)	(70, 0.019219736087205966)	(75, 0.019650028686173264)	(80, 0.020940906483075155)	(85, 0.021514629948364887)	(90, 0.021514629948364887)	(95, 0.021514629948364887)	(100, 0.021514629948364887)	(105, 0.021514629948364887)	(110, 0.021514629948364887)	(115, 0.021514629948364887)	(120, 0.021514629948364887)	(125, 0.021801491681009748)	(130, 0.02223178427997705)	(135, 0.02223178427997705)	(140, 0.02223178427997705)	(145, 0.022662076878944348)	(150, 0.022948938611589215)	(155, 0.024096385542168676)	(160, 0.02667814113597246)	(165, 0.03427997705106138)	(170, 0.03858290304073436)	(175, 0.03944348823866896)	(180, 0.040447504302925985)	(185, 0.0642570281124498)	(190, 0.06956397016637982)	(195, 0.07358003442340792)	(200, 0.08462421113023523)	(205, 0.09236947791164658)	(210, 0.09896729776247848)	(215, 0.10111876075731499)	(220, 0.10370051635111877)	(225, 0.10742971887550201)	(230, 0.10986804360298337)	(235, 0.11130235226620769)	(240, 0.1157487091222031)	(245, 0.11919104991394147)	(250, 0.1214859437751004)	(255, 0.12320711417096959)	(260, 0.12865748709122204)	(265, 0.1323866896156053)	(270, 0.13668961560527826)	(275, 0.1431440045897877)	(280, 0.1495983935742972)	(285, 0.15605278255880664)	(290, 0.15705679862306368)
SRR32802189_1 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.005951419413530126)	(15, 0.019724704341985567)	(20, 0.021255069334036168)	(25, 0.021255069334036168)	(30, 0.021255069334036168)	(35, 0.02142510988870846)	(40, 0.022105272107397614)	(45, 0.022105272107397614)	(50, 0.022105272107397614)	(55, 0.022105272107397614)	(60, 0.022105272107397614)	(65, 0.022105272107397614)	(70, 0.022105272107397614)	(75, 0.022105272107397614)	(80, 0.022105272107397614)	(85, 0.022105272107397614)	(90, 0.022105272107397614)	(95, 0.022105272107397614)	(100, 0.02278543432608677)	(105, 0.02380567765412051)	(110, 0.02380567765412051)	(115, 0.02380567765412051)	(120, 0.02380567765412051)	(125, 0.02380567765412051)	(130, 0.02380567765412051)	(135, 0.02380567765412051)	(140, 0.02788665096625545)	(145, 0.029757097067650635)	(150, 0.03060729984101208)	(155, 0.03281782705175185)	(160, 0.033327948715768704)	(165, 0.03451823259847473)	(170, 0.03485831370781931)	(175, 0.03621863814519763)	(180, 0.03774900313724824)	(185, 0.04285021977741692)	(190, 0.05645346415120006)	(195, 0.06512553243948682)	(200, 0.07243727629039526)	(205, 0.07719841182121936)	(210, 0.10593526556083625)	(215, 0.11511745551313987)	(220, 0.12055875326265315)	(225, 0.12327940213740977)	(230, 0.12872069988692306)	(235, 0.13467211930045314)	(240, 0.14300410647939532)	(245, 0.14759520145554714)	(250, 0.1530364992050604)	(255, 0.15388670197842186)	(260, 0.15677739140785077)	(265, 0.15847779695457367)	(270, 0.16187860804801946)	(275, 0.1688502707895833)	(280, 0.17089075744565077)	(285, 0.17174096021901222)	(290, 0.17174096021901222)
SRR32802189_2 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.006971662741563864)	(15, 0.02312551543543135)	(20, 0.0255060832008434)	(25, 0.0255060832008434)	(30, 0.0255060832008434)	(35, 0.02567612375551569)	(40, 0.026356285974204852)	(45, 0.026356285974204852)	(50, 0.026356285974204852)	(55, 0.026356285974204852)	(60, 0.026356285974204852)	(65, 0.026356285974204852)	(70, 0.026356285974204852)	(75, 0.026356285974204852)	(80, 0.026356285974204852)	(85, 0.026356285974204852)	(90, 0.026356285974204852)	(95, 0.026356285974204852)	(100, 0.026866407638221713)	(105, 0.027206488747566294)	(110, 0.027206488747566294)	(115, 0.027206488747566294)	(120, 0.027206488747566294)	(125, 0.027206488747566294)	(130, 0.027206488747566294)	(135, 0.027206488747566294)	(140, 0.029587056512978344)	(145, 0.030947380950356658)	(150, 0.03145750261437353)	(155, 0.03298786760642414)	(160, 0.033497989270440995)	(165, 0.035368435371836184)	(170, 0.035708516481180765)	(175, 0.03638867869986992)	(180, 0.03774900313724824)	(185, 0.04148989534003859)	(190, 0.05186236917504824)	(195, 0.05662350470587235)	(200, 0.06070447801800729)	(205, 0.06325508633809164)	(210, 0.0828097501254049)	(215, 0.08842108842959047)	(220, 0.09131177785901937)	(225, 0.09199194007770853)	(230, 0.09386238617910372)	(235, 0.09539275117115432)	(240, 0.09709315671787722)	(245, 0.09879356226460011)	(250, 0.09947372448328927)	(255, 0.09947372448328927)	(260, 0.09981380559263384)	(265, 0.10066400836599529)	(270, 0.1020243328033736)	(275, 0.1037247383500965)	(280, 0.10440490056878567)	(285, 0.10457494112345796)	(290, 0.10457494112345794)
SRR32802201_1 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0010451395783906941)	(3, 0.0010451395783906941)	(4, 0.0010451395783906941)	(5, 0.0010451395783906941)	(6, 0.0010451395783906941)	(7, 0.0010451395783906941)	(8, 0.0010451395783906941)	(9, 0.0010451395783906941)	(10, 0.0037625024822064987)	(15, 0.010869451615263221)	(20, 0.011496535362297635)	(25, 0.011496535362297635)	(30, 0.011496535362297635)	(35, 0.011496535362297635)	(40, 0.011496535362297635)	(45, 0.011496535362297635)	(50, 0.011496535362297635)	(55, 0.01212361910933205)	(60, 0.01254167494068833)	(65, 0.01254167494068833)	(70, 0.01254167494068833)	(75, 0.01254167494068833)	(80, 0.01254167494068833)	(85, 0.01254167494068833)	(90, 0.01254167494068833)	(95, 0.01254167494068833)	(100, 0.01254167494068833)	(105, 0.012959730772044606)	(110, 0.013586814519079024)	(115, 0.013586814519079024)	(120, 0.013586814519079024)	(125, 0.013586814519079024)	(130, 0.01442292618179158)	(135, 0.014631954097469719)	(140, 0.01630417742289483)	(145, 0.0177673728326418)	(150, 0.0177673728326418)	(155, 0.0177673728326418)	(160, 0.017976400748319937)	(165, 0.019439596158066907)	(170, 0.020066679905101324)	(175, 0.02299307072459527)	(180, 0.02487432196569852)	(185, 0.0328173827614678)	(190, 0.04222363896698404)	(195, 0.05246600683521284)	(200, 0.061454207209372815)	(205, 0.06856115634242951)	(210, 0.0802667196204053)	(215, 0.08528338959668064)	(220, 0.08967297582592156)	(225, 0.09406256205516246)	(230, 0.09824312036872525)	(235, 0.09887020411575967)	(240, 0.10033339952550664)	(245, 0.10221465076660988)	(250, 0.10514104158610382)	(255, 0.1066042369958508)	(260, 0.109948683646701)	(265, 0.1120389628034824)	(270, 0.11350215821322937)	(275, 0.11872785610518286)	(280, 0.12269938650306748)	(285, 0.12625286106959585)	(290, 0.126461888985274)
SRR32802204_1 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.002219248719036585)	(15, 0.0056133938187395965)	(20, 0.0058744819033321365)	(25, 0.0058744819033321365)	(30, 0.0058744819033321365)	(35, 0.0058744819033321365)	(40, 0.0058744819033321365)	(45, 0.0058744819033321365)	(50, 0.0058744819033321365)	(55, 0.0058744819033321365)	(60, 0.0058744819033321365)	(65, 0.0058744819033321365)	(70, 0.0058744819033321365)	(75, 0.0058744819033321365)	(80, 0.0058744819033321365)	(85, 0.0058744819033321365)	(90, 0.006135569987924676)	(95, 0.006527202114813485)	(100, 0.006527202114813485)	(105, 0.006527202114813485)	(110, 0.006527202114813485)	(115, 0.0070493782839985645)	(120, 0.007179922326294834)	(125, 0.007179922326294834)	(130, 0.007571554453183643)	(135, 0.007832642537776182)	(140, 0.00796318658007245)	(145, 0.00848536274925753)	(150, 0.009790803172220228)	(155, 0.009790803172220228)	(160, 0.009921347214516499)	(165, 0.011487875722071734)	(170, 0.013184948271923241)	(175, 0.013707124441108321)	(180, 0.014359844652589668)	(185, 0.020364870598218072)	(190, 0.029764041643549493)	(195, 0.0370745080121406)	(200, 0.03968538885806599)	(205, 0.046604223099768284)	(210, 0.0672301817825789)	(215, 0.07179922326294834)	(220, 0.0724519434744297)	(225, 0.07519336836265136)	(230, 0.07976240984302078)	(235, 0.0823732906889462)	(240, 0.08433145132339023)	(245, 0.08550634770405666)	(250, 0.08733396429620444)	(255, 0.08811722854998205)	(260, 0.09138082960738877)	(265, 0.09373062236872164)	(270, 0.09529715087627688)	(275, 0.10078000065272022)	(280, 0.10365196958323815)	(285, 0.10534904213308964)	(290, 0.10835155510590386)
SRR32802210_1 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00020013509118655093)	(15, 0.0010006754559327546)	(20, 0.0010006754559327546)	(25, 0.0010006754559327546)	(30, 0.0010006754559327546)	(35, 0.0010006754559327546)	(40, 0.0010006754559327546)	(45, 0.0010006754559327546)	(50, 0.0010006754559327546)	(55, 0.0010006754559327546)	(60, 0.0010006754559327546)	(65, 0.0010006754559327546)	(70, 0.0010006754559327546)	(75, 0.0010006754559327546)	(80, 0.0010006754559327546)	(85, 0.0010006754559327546)	(90, 0.0010006754559327546)	(95, 0.0010006754559327546)	(100, 0.0010006754559327546)	(105, 0.0010006754559327546)	(110, 0.0010006754559327546)	(115, 0.0010006754559327546)	(120, 0.0010006754559327546)	(125, 0.0010006754559327546)	(130, 0.0010006754559327546)	(135, 0.0010006754559327546)	(140, 0.0010006754559327546)	(145, 0.001300878092712581)	(150, 0.0015010131838991319)	(155, 0.0015010131838991319)	(160, 0.0016010807294924074)	(165, 0.009006079103394791)	(170, 0.01300878092712581)	(175, 0.01360918620068546)	(180, 0.0159107397493308)	(185, 0.03492357341205314)	(190, 0.03652465414154554)	(195, 0.03682485677832537)	(200, 0.0546368798939284)	(205, 0.05883971680884598)	(210, 0.06144147299427114)	(215, 0.06944687664173317)	(220, 0.07024741700647938)	(225, 0.07525079428614315)	(230, 0.08755910239411603)	(235, 0.08916018312360843)	(240, 0.09146173667225377)	(245, 0.09276261476496635)	(250, 0.09446376304005204)	(255, 0.09506416831361168)	(260, 0.09506416831361168)	(265, 0.0982663297725965)	(270, 0.09936707277412253)	(275, 0.10366997723463338)	(280, 0.10437045005378631)	(285, 0.10597153078327873)	(290, 0.10657193605683836)
SRR32802212_1 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.003495913397786725)	(15, 0.010969935144779034)	(20, 0.011452130096197893)	(25, 0.011452130096197893)	(30, 0.011452130096197893)	(35, 0.011452130096197893)	(40, 0.011452130096197893)	(45, 0.011452130096197893)	(50, 0.011452130096197893)	(55, 0.011452130096197893)	(60, 0.011452130096197893)	(65, 0.011452130096197893)	(70, 0.011813776309762037)	(75, 0.012054873785471466)	(80, 0.012054873785471466)	(85, 0.012054873785471466)	(90, 0.012054873785471466)	(95, 0.012054873785471466)	(100, 0.012054873785471466)	(105, 0.012054873785471466)	(110, 0.012054873785471466)	(115, 0.012054873785471466)	(120, 0.012054873785471466)	(125, 0.012295971261180896)	(130, 0.013501458639728042)	(135, 0.01446584854256576)	(140, 0.015068592231839335)	(145, 0.015068592231839335)	(150, 0.016274079610386478)	(155, 0.01675627456180534)	(160, 0.0172384695132242)	(165, 0.019287798056754343)	(170, 0.020493285435301493)	(175, 0.02193987028955807)	(180, 0.022904260192395786)	(185, 0.026279624852327793)	(190, 0.03471803650215782)	(195, 0.04219205824915013)	(200, 0.047014007763338715)	(205, 0.0509921161125443)	(210, 0.06015382018950262)	(215, 0.06569906213081948)	(220, 0.06823058562576849)	(225, 0.07052101164500808)	(230, 0.07474021746992308)	(235, 0.07606625358632495)	(240, 0.0798032644598211)	(245, 0.08173204426549655)	(250, 0.08498686018757384)	(255, 0.08583070135255684)	(260, 0.08679509125539456)	(265, 0.0913759432938737)	(270, 0.09306362562383971)	(275, 0.09511295416736987)	(280, 0.0977650264001736)	(285, 0.10174313474937917)	(290, 0.10306917086578103)
SRR32802219_1 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.004289171883457073)	(15, 0.01327600821070046)	(20, 0.014297239611523575)	(25, 0.014297239611523575)	(30, 0.014297239611523575)	(35, 0.014297239611523575)	(40, 0.014297239611523575)	(45, 0.014297239611523575)	(50, 0.014297239611523575)	(55, 0.014297239611523575)	(60, 0.014297239611523575)	(65, 0.014297239611523575)	(70, 0.014297239611523575)	(75, 0.014297239611523575)	(80, 0.014297239611523575)	(85, 0.014297239611523575)	(90, 0.014297239611523575)	(95, 0.014297239611523575)	(100, 0.015318471012346688)	(105, 0.015318471012346688)	(110, 0.01613545613300518)	(115, 0.0163397024131698)	(120, 0.0163397024131698)	(125, 0.0163397024131698)	(130, 0.0163397024131698)	(135, 0.0163397024131698)	(140, 0.0163397024131698)	(145, 0.016952441253663665)	(150, 0.017360933813992913)	(155, 0.017360933813992913)	(160, 0.018994904055309896)	(165, 0.020833120576791493)	(170, 0.023079829658602342)	(175, 0.023488322218931587)	(180, 0.023896814779260832)	(185, 0.03431337506765658)	(190, 0.038602546951113655)	(195, 0.04125774859325374)	(200, 0.05044883120066176)	(205, 0.05739320472625893)	(210, 0.07189469061794712)	(215, 0.07761358646255655)	(220, 0.0808815269451905)	(225, 0.08496645254848297)	(230, 0.08782590047078767)	(235, 0.0888471318716108)	(240, 0.09007260955259852)	(245, 0.09211507235424474)	(250, 0.09497452027654946)	(255, 0.09558725911704333)	(260, 0.09701698307819569)	(265, 0.09701698307819569)	(270, 0.0972212293583603)	(275, 0.09926369216000655)	(280, 0.10375711032362825)	(285, 0.10600381940543908)	(290, 0.10825052848724992)
SRR32802223_1 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.002813203300825206)	(15, 0.0073455863965991505)	(20, 0.007814453613403351)	(25, 0.007814453613403351)	(30, 0.007814453613403351)	(35, 0.007814453613403351)	(40, 0.007814453613403351)	(45, 0.007814453613403351)	(50, 0.007814453613403351)	(55, 0.007814453613403351)	(60, 0.007814453613403351)	(65, 0.007814453613403351)	(70, 0.00843960990247562)	(75, 0.008595898974743686)	(80, 0.009064766191547887)	(85, 0.009377344336084021)	(90, 0.009377344336084021)	(95, 0.009377344336084021)	(100, 0.009377344336084021)	(105, 0.009377344336084021)	(110, 0.009377344336084021)	(115, 0.010627656914228558)	(120, 0.01094023505876469)	(125, 0.011096524131032758)	(130, 0.012503125781445362)	(135, 0.013284571142785698)	(140, 0.013284571142785698)	(145, 0.015628907226806703)	(150, 0.016410352588147038)	(155, 0.016410352588147038)	(160, 0.017191797949487372)	(165, 0.020786446611652912)	(170, 0.024381095273818452)	(175, 0.026725431357839457)	(180, 0.027975743935984)	(185, 0.03813453363340835)	(190, 0.04094773693423356)	(195, 0.04297949487371843)	(200, 0.05063765941485371)	(205, 0.055326331582895724)	(210, 0.05954613653413353)	(215, 0.06189047261815454)	(220, 0.06907976994248563)	(225, 0.07314328582145536)	(230, 0.07970742685671418)	(235, 0.08173918479619904)	(240, 0.08314578644661166)	(245, 0.08361465366341585)	(250, 0.08642785696424107)	(255, 0.08892848212053013)	(260, 0.08986621655413854)	(265, 0.09096024006001499)	(270, 0.09549262315578896)	(275, 0.10158789697424356)	(280, 0.10221305326331583)	(285, 0.1037759439859965)	(290, 0.1047136784196049)
SRR32802226_1 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.002694674954833573)	(15, 0.009308877116697797)	(20, 0.00979881801757663)	(25, 0.00979881801757663)	(30, 0.00979881801757663)	(35, 0.00979881801757663)	(40, 0.00979881801757663)	(45, 0.010166273693235754)	(50, 0.010411244143675169)	(55, 0.010411244143675169)	(60, 0.010411244143675169)	(65, 0.010411244143675169)	(70, 0.010411244143675169)	(75, 0.010411244143675169)	(80, 0.010411244143675169)	(85, 0.010411244143675169)	(90, 0.010411244143675169)	(95, 0.010411244143675169)	(100, 0.010411244143675169)	(105, 0.010411244143675169)	(110, 0.010411244143675169)	(115, 0.010656214594114585)	(120, 0.011023670269773708)	(125, 0.01151361117065254)	(130, 0.014085800900266404)	(135, 0.014085800900266404)	(140, 0.014820712251584652)	(145, 0.017515387206418227)	(150, 0.01898520990905472)	(155, 0.01959763603515326)	(160, 0.02143491441344888)	(165, 0.027926631350093396)	(170, 0.03196864378234375)	(175, 0.03331598125976054)	(180, 0.035398230088495575)	(185, 0.047034326484367825)	(190, 0.050831368466178764)	(195, 0.054015984321891176)	(200, 0.06271243531249043)	(205, 0.06748935909605903)	(210, 0.07520592828490062)	(215, 0.07826805891539332)	(220, 0.08169764522154516)	(225, 0.08696450990599258)	(230, 0.0949260495452736)	(235, 0.09762072450010718)	(240, 0.09909054720274366)	(245, 0.10080534035581959)	(250, 0.10141776648191811)	(255, 0.10411244143675169)	(260, 0.10558226413938818)	(265, 0.10852190954466119)	(270, 0.11329883332822979)	(275, 0.11721836053526043)	(280, 0.12064794684141227)	(285, 0.1261597819762991)	(290, 0.13044676485898887)
