Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
SRR32802187_1	10.858903900465613	63.21320891534997
SRR32802187_2	1.7493893595908707	58.33619571025111
SRR32802188_1	7.996270797475617	66.43359150889273
SRR32802188_2	2.196643717728055	58.260183591508884
SRR32802189_1	11.240530866611687	65.11703041175322
SRR32802189_2	3.229920336000136	62.1430211105349
SRR32802190_1	5.092503186435441	67.51380788691054
SRR32802190_2	1.9665778327089207	57.70795514528859
SRR32802191_1	4.042826599904732	68.054524708932
SRR32802191_2	1.6561243367194338	59.30531399895864
SRR32802192_1	8.981852950743724	65.47723486678038
SRR32802192_2	2.864493489339471	61.601395775217064
SRR32802193_1	3.638110400483105	67.74560127364056
SRR32802193_2	0.8822156954242266	48.70906645439326
SRR32802194_1	4.956838021338506	64.39427740058194
SRR32802194_2	1.0150339476236665	53.85499515033948
SRR32802195_1	8.072891153130204	68.1355041549026
SRR32802195_2	2.837624802942722	64.85032553416995
SRR32802196_1	3.5755747780559983	67.1255406328249
SRR32802196_2	1.0505349419531071	58.35704529933982
SRR32802197_1	12.509932793707659	65.9564438578297
SRR32802197_2	4.552923271693895	66.34904173793586
SRR32802198_1	5.134237889678686	66.27104788299914
SRR32802198_2	1.6185311094938537	56.86542315092666
SRR32802199_1	4.40998113377055	65.25244811786905
SRR32802199_2	1.184192794897134	52.33750336896952
SRR32802200_1	6.311888640133125	63.163771915899936
SRR32802200_2	1.4461893840284201	53.7662778413352
SRR32802201_1	5.839194824468808	66.0820852624868
SRR32802201_2	1.6220566256623572	57.86937845549272
SRR32802202_1	5.546529331821015	68.14424246140005
SRR32802202_2	2.7007142638177863	62.79390576622424
SRR32802203_1	7.644956314535345	67.03552603076034
SRR32802203_2	3.181637663369196	62.16784605386673
SRR32802204_1	9.558434776932868	65.34773669266676
SRR32802204_2	3.6454423811233316	63.22900688619825
SRR32802205_1	9.96360824655623	65.38665187463751
SRR32802205_2	2.9768958590723047	63.61160838102922
SRR32802206_1	8.841869501404078	65.50211672082193
SRR32802206_2	2.80136759677953	61.7895835277549
SRR32802207_1	5.585971956078717	66.82863399945242
SRR32802207_2	1.631839888067646	56.82467986738449
SRR32802208_1	3.5589082404783796	60.98598189736864
SRR32802208_2	1.3714680496491973	57.62779906919428
SRR32802209_1	3.57913735997916	66.13542480741319
SRR32802209_2	1.6635034051579771	68.3585463882996
SRR32802210_1	4.482025367122808	64.57408750906862
SRR32802210_2	1.182798388912516	64.99687288920028
SRR32802211_1	3.6346737716091453	66.32876882086876
SRR32802211_2	1.5137245182477228	64.3119152363839
SRR32802212_1	5.026882368541601	64.53817778527859
SRR32802212_2	1.18921329893676	58.96520963425513
SRR32802213_1	3.367560647694343	68.48087501941686
SRR32802213_2	1.1805477441575207	56.69735876545988
SRR32802214_1	5.0328139738692395	68.42967908535674
SRR32802214_2	1.2657296342630069	60.581753958750014
SRR32802215_1	4.587311031181545	68.03215512345511
SRR32802215_2	1.134489006679828	58.50123049463185
SRR32802216_1	6.642316667467653	65.70388051412674
SRR32802216_2	1.5437685895690156	57.0040957125846
SRR32802217_1	4.379836053014633	67.21979621542941
