Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67
SRR32802187_1	(1, 0.003816502557056713)	(2, 0.003816502557056713)	(3, 0.003816502557056713)	(4, 0.003816502557056713)	(5, 0.003816502557056713)	(6, 0.003816502557056713)	(7, 0.003816502557056713)	(8, 0.003816502557056713)	(9, 0.003816502557056713)	(10, 0.006297229219143576)	(15, 0.003816502557056713)	(20, 0.003816502557056713)	(25, 0.003816502557056713)	(30, 0.003816502557056713)	(35, 0.0015266476344594905)	(40, 0.0019083313931964167)	(45, 0.0004770833035156269)	(50, 0.0037212497674218893)	(55, 0.009159999427500036)	(60, 0.007919582838359406)	(65, 0.0)	(70, 0.0)	(75, 0.001908378736844114)	(80, 0.00019083787368441143)	(85, 0.0011450272421064684)	(90, 0.0021946439237943297)	(95, 0.0)	(100, 0.008969431414383914)	(105, 0.0015267175572519084)	(110, 0.0)	(115, 0.0036259541984732823)	(120, 0.007061075439957481)	(125, 0.0)	(130, 0.000954213951943877)	(135, 0.0)	(140, 0.0)	(145, 0.00047713156139394944)	(150, 9.542758716117242e-05)	(155, 0.0034354029727687056)	(160, 0.0007634287110269643)	(165, 0.0016225058744256805)	(170, 0.0021953833950745143)	(175, 0.0007636254646183686)	(180, 0.0)	(185, 0.0024834634763712775)	(190, 0.0021970652939147977)	(195, 0.002483729185632964)	(200, 0.0007647408580010057)	(205, 0.0015297069081563971)	(210, 0.0025813976834345976)	(215, 0.0033462754520101074)	(220, 0.002868299175077157)	(225, 0.006980228741139651)	(230, 0.008895205866627388)	(235, 0.0003826019418961561)	(240, 0.005547871434775206)	(245, 0.009852310988674624)	(250, 0.007078427058722248)	(255, 0.0034435887551522307)	(260, 0.0009565615819998067)	(265, 0.003539315094700593)	(270, 0.00411337612519969)	(275, 0.0)	(280, 0.0)	(285, 0.0)	(290, 0.00047844554954734267)	(295, 0.0012734885160724048)	(300, 0.0)
SRR32802187_2	(1, 0.42840241202961604)	(2, 0.003816502557056713)	(3, 0.007633005114113426)	(4, 0.004770628196320891)	(5, 0.002862376917792535)	(6, 0.002862376917792535)	(7, 0.002862376917792535)	(8, 0.002862376917792535)	(9, 0.002862376917792535)	(10, 0.002862376917792535)	(15, 0.002862376917792535)	(20, 0.003053202045645371)	(25, 0.002862376917792535)	(30, 0.002862376917792535)	(35, 0.0005724884929812911)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.00047707875138949183)	(60, 0.0017174835050021706)	(65, 0.0)	(70, 0.0)	(75, 0.0009541757114572649)	(80, 0.005725054268743589)	(85, 0.0)	(90, 0.0018129476907340243)	(95, 0.0)	(100, 0.0002862557179579662)	(105, 0.0)	(110, 0.0018129598000019083)	(115, 0.0015267029894752914)	(120, 0.0014312854183504149)	(125, 0.0)	(130, 0.0)	(135, 0.0004770992366412214)	(140, 0.0010496203237029078)	(145, 0.0037214841278701946)	(150, 0.0)	(155, 0.0008588155025740608)	(160, 0.0007633952001526791)	(165, 0.0005725966686325819)	(170, 0.0)	(175, 0.00095441157663066)	(180, 0.00019088832746510801)	(185, 0.0005729203468841726)	(190, 0.0012413926133319837)	(195, 0.0015279130617467866)	(200, 0.0024841444701988653)	(205, 0.0019110812133072406)	(210, 0.002006641026253553)	(215, 0.0020066448611258426)	(220, 0.0005733309380840809)	(225, 0.0007644690093819459)	(230, 0.0020068845697335047)	(235, 0.0019113533432914842)	(240, 0.0012423962957476596)	(245, 0.0037271888872429794)	(250, 0.0015291060559289656)	(255, 0.0036316372950036314)	(260, 0.0)	(265, 0.0006689979652904741)	(270, 0.002198142474038026)	(275, 0.0028671505779697707)	(280, 0.007263448130856753)	(285, 0.008888226254100053)	(290, 0.0)	(295, 0.00363521219594559)	(300, 0.0)
SRR32802188_1	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.001434308663224326)	(9, 0.0)	(10, 0.000717154331612163)	(15, 0.00028686173264486515)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.00028686173264486515)	(60, 0.0008605851979345956)	(65, 0.013912794033275961)	(70, 0.007314974182444062)	(75, 0.0008605851979345956)	(80, 0.013195639701663799)	(85, 0.015203671830177855)	(90, 0.002151462994836489)	(95, 0.009896729776247849)	(100, 0.0008605851979345956)	(105, 0.0)	(110, 0.000717154331612163)	(115, 0.0005737234652897303)	(120, 0.015920826161790018)	(125, 0.015060240963855423)	(130, 0.0)	(135, 0.0)	(140, 0.00028686173264486515)	(145, 0.00028686173264486515)	(150, 0.015060240963855423)	(155, 0.004302925989672978)	(160, 0.002151462994836489)	(165, 0.020797475616752725)	(170, 0.002008032128514056)	(175, 0.0)	(180, 0.0)	(185, 0.036861732644865176)	(190, 0.015203671830177855)	(195, 0.0)	(200, 0.009753298909925417)	(205, 0.0018646012621916235)	(210, 0.0)	(215, 0.003155479059093517)	(220, 0.00028686173264486515)	(225, 0.0)	(230, 0.0017211703958691911)	(235, 0.005593803786574871)	(240, 0.0032989099254159496)	(245, 0.0004302925989672978)	(250, 0.0)	(255, 0.0)	(260, 0.0008605851979345956)	(265, 0.000717154331612163)	(270, 0.0004302925989672978)	(275, 0.00028686173264486515)	(280, 0.0)	(285, 0.0)	(290, 0.0)	(295, 0.0004302925989672978)	(300, 0.0)
SRR32802188_2	(1, 0.5321285140562249)	(2, 0.001434308663224326)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.006167527251864602)	(25, 0.007888697647733794)	(30, 0.0)	(35, 0.00014343086632243257)	(40, 0.0)	(45, 0.00014343086632243257)	(50, 0.00014343086632243257)	(55, 0.0)	(60, 0.0034423407917383822)	(65, 0.010900745840504876)	(70, 0.003729202524383247)	(75, 0.005880665519219736)	(80, 0.01606425702811245)	(85, 0.0)	(90, 0.004733218588640275)	(95, 0.019076305220883532)	(100, 0.0)	(105, 0.019506597819850834)	(110, 0.02108433734939759)	(115, 0.0)	(120, 0.019936890418818128)	(125, 0.005593803786574871)	(130, 0.0008605851979345956)	(135, 0.001004016064257028)	(140, 0.0025817555938037868)	(145, 0.00028686173264486515)	(150, 0.0)	(155, 0.002294893861158921)	(160, 0.002725186460126219)	(165, 0.0005737234652897303)	(170, 0.0)	(175, 0.0012908777969018934)	(180, 0.0015777395295467585)	(185, 0.0)	(190, 0.007888697647733794)	(195, 0.0012908777969018934)	(200, 0.0)	(205, 0.00387263339070568)	(210, 0.0011474469305794606)	(215, 0.0)	(220, 0.0)	(225, 0.0)	(230, 0.00014343086632243257)	(235, 0.0)	(240, 0.00774526678141136)	(245, 0.0)	(250, 0.0)	(255, 0.0)	(260, 0.006454388984509465)	(265, 0.006741250717154331)	(270, 0.000717154331612163)	(275, 0.010327022375215147)	(280, 0.006597819850831899)	(285, 0.004733218588640275)	(290, 0.008175559380378656)	(295, 0.002725186460126219)	(300, 0.000717154331612163)
SRR32802189_1	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0034008110934457864)	(9, 0.0)	(10, 0.0003400811093445787)	(15, 0.0006801622186891574)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.00017004055467228935)	(55, 0.0)	(60, 0.0005101216640168681)	(65, 0.005441297749513259)	(70, 0.003060729984101208)	(75, 0.0005101216640168681)	(80, 0.007311743850908442)	(85, 0.012412960491077122)	(90, 0.0006801622186891574)	(95, 0.004251013866807233)	(100, 0.00017004055467228935)	(105, 0.0)	(110, 0.0)	(115, 0.00017004055467228935)	(120, 0.009862352170992782)	(125, 0.008502027733614467)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.00017004055467228935)	(150, 0.009352230506975912)	(155, 0.0027206488747566295)	(160, 0.0010202433280337361)	(165, 0.012753041600421702)	(170, 0.0011902838827060253)	(175, 0.0)	(180, 0.0)	(185, 0.021085028779363878)	(190, 0.01071255494435423)	(195, 0.0)	(200, 0.007991906069597599)	(205, 0.0018704461013951828)	(210, 0.0)	(215, 0.0040809733121349445)	(220, 0.0011902838827060253)	(225, 0.0)	(230, 0.001530364992050604)	(235, 0.005611338304185548)	(240, 0.0037408922027903657)	(245, 0.0003400811093445787)	(250, 0.0)	(255, 0.0)	(260, 0.0003400811093445787)	(265, 0.0005101216640168681)	(270, 0.0)	(275, 0.0003400811093445787)	(280, 0.0)	(285, 0.0)	(290, 0.0)	(295, 0.0006801622186891574)	(300, 0.0021255069334036166)
SRR32802189_2	(1, 0.5517815999115789)	(2, 0.0008502027733614466)	(3, 0.0)	(4, 0.0)	(5, 0.0008502027733614466)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.004761135530824101)	(25, 0.005441297749513259)	(30, 0.0)	(35, 0.00017004055467228935)	(40, 0.0008502027733614466)	(45, 0.00017004055467228935)	(50, 0.0003400811093445787)	(55, 0.0)	(60, 0.0018704461013951828)	(65, 0.0057813788588578375)	(70, 0.0027206488747566295)	(75, 0.004251013866807233)	(80, 0.010882595499026518)	(85, 0.0)	(90, 0.0022105272107397615)	(95, 0.012753041600421702)	(100, 0.0)	(105, 0.01513360936583375)	(110, 0.01530364992050604)	(115, 0.0)	(120, 0.014113366037800015)	(125, 0.0037408922027903657)	(130, 0.0010202433280337361)	(135, 0.0008502027733614466)	(140, 0.0013603244373783148)	(145, 0.0003400811093445787)	(150, 0.0)	(155, 0.0017004055467228932)	(160, 0.001530364992050604)	(165, 0.0005101216640168681)	(170, 0.0)	(175, 0.0006801622186891574)	(180, 0.0005101216640168681)	(185, 0.0)	(190, 0.00510121664016868)	(195, 0.0003400811093445787)	(200, 0.0)	(205, 0.0018704461013951828)	(210, 0.0003400811093445787)	(215, 0.0)	(220, 0.0003400811093445787)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.007311743850908442)	(245, 0.0)	(250, 0.0)	(255, 0.0)	(260, 0.00510121664016868)	(265, 0.0057813788588578375)	(270, 0.0010202433280337361)	(275, 0.008672068288286755)	(280, 0.005611338304185548)	(285, 0.004251013866807233)	(290, 0.007311743850908442)	(295, 0.003230770538773497)	(300, 0.00127530416004217)
SRR32802190_1	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0025748973259691267)	(9, 0.0)	(10, 0.0006437243314922817)	(15, 0.00025748973259691267)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.00012874486629845634)	(65, 0.011458293100562615)	(70, 0.004377325454147516)	(75, 0.0)	(80, 0.01094331363536879)	(85, 0.016608087752500868)	(90, 0.0011587037966861071)	(95, 0.008754650908295032)	(100, 0.00025748973259691267)	(105, 0.0)	(110, 0.00012874486629845634)	(115, 0.00012874486629845634)	(120, 0.01519189422321785)	(125, 0.017123067217694694)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.015578128822113218)	(155, 0.004119835721550603)	(160, 0.0025748973259691267)	(165, 0.0233028208000206)	(170, 0.0014161935292830198)	(175, 0.0)	(180, 0.0)	(185, 0.04016839828511838)	(190, 0.017766791549186978)	(195, 0.0)	(200, 0.01197327256575644)	(205, 0.0019311729944768454)	(210, 0.0)	(215, 0.0028323870585660396)	(220, 0.000772469197790738)	(225, 0.0)	(230, 0.0016736832618799327)	(235, 0.0059222638497289926)	(240, 0.004763560053042885)	(245, 0.000386234598895369)	(250, 0.0)	(255, 0.0)	(260, 0.00025748973259691267)	(265, 0.0006437243314922817)	(270, 0.00012874486629845634)	(275, 0.00025748973259691267)	(280, 0.0)	(285, 0.0)	(290, 0.0)	(295, 0.000386234598895369)	(300, 0.00032186216574614084)
SRR32802190_2	(1, 0.6070320445972217)	(2, 0.0006437243314922817)	(3, 0.0)	(4, 0.0)	(5, 0.0006437243314922817)	(6, 0.0)	(7, 0.0006437243314922817)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.00012874486629845634)	(20, 0.007080967646415099)	(25, 0.009398375239787312)	(30, 0.0)	(35, 0.000386234598895369)	(40, 0.000772469197790738)	(45, 0.00012874486629845634)	(50, 0.000386234598895369)	(55, 0.0)	(60, 0.004377325454147516)	(65, 0.013260721228741003)	(70, 0.005278539518236711)	(75, 0.007080967646415099)	(80, 0.022401606735931404)	(85, 0.0)	(90, 0.007467202245310469)	(95, 0.020727923474051474)	(100, 0.0)	(105, 0.022659096468528317)	(110, 0.026650187323780463)	(115, 0.0)	(120, 0.025748973259691266)	(125, 0.006694733047519731)	(130, 0.0009012140640891944)	(135, 0.000386234598895369)	(140, 0.0051497946519382535)	(145, 0.0)	(150, 0.0)	(155, 0.002188662727073758)	(160, 0.0036048562563567774)	(165, 0.0006437243314922817)	(170, 0.0)	(175, 0.0014161935292830198)	(180, 0.0024461524596706705)	(185, 0.0)	(190, 0.007467202245310469)	(195, 0.0027036421922675834)	(200, 0.0)	(205, 0.005278539518236711)	(210, 0.0019311729944768454)	(215, 0.0)	(220, 0.00025748973259691267)	(225, 0.0)	(230, 0.00012874486629845634)	(235, 0.0)	(240, 0.011200803367965702)	(245, 0.0)	(250, 0.0)	(255, 0.0)	(260, 0.009913354704981139)	(265, 0.0091408855071904)	(270, 0.0016736832618799327)	(275, 0.014161935292830198)	(280, 0.009012140640891944)	(285, 0.006051008716027448)	(290, 0.011715782833159528)	(295, 0.0033473665237598654)	(300, 0.002253035160222986)
SRR32802191_1	(1, 0.005538877380332554)	(2, 0.005538877380332554)	(3, 0.005538877380332554)	(4, 0.005538877380332554)	(5, 0.005538877380332554)	(6, 0.005538877380332554)	(7, 0.005538877380332554)	(8, 0.005538877380332554)	(9, 0.005538877380332554)	(10, 0.0076436507848589245)	(15, 0.005538877380332554)	(20, 0.005538877380332554)	(25, 0.005538877380332554)	(30, 0.005538877380332554)	(35, 0.001440171934372473)	(40, 0.0013294042053486363)	(45, 0.0009970531540114773)	(50, 0.0026588084106972725)	(55, 0.0077548578645337115)	(60, 0.0058715352402898095)	(65, 0.0)	(70, 0.0)	(75, 0.0005539184188952651)	(80, 0.0)	(85, 0.00044313473511621213)	(90, 0.0013294042053486363)	(95, 0.0)	(100, 0.00697937207808034)	(105, 0.0008862694702324243)	(110, 0.0)	(115, 0.002658823138408362)	(120, 0.0056499991691177694)	(125, 0.0)	(130, 0.00011078552476333443)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)	(155, 0.001551048896816472)	(160, 0.0001107892069154623)	(165, 0.00033241291889567995)	(170, 0.0004432525874869794)	(175, 0.0)	(180, 0.0)	(185, 0.0007758863393017467)	(190, 0.0008867606632969762)	(195, 0.00110846434458166)	(200, 0.0002217287525651245)	(205, 0.001219560869391683)	(210, 0.0009978424428956944)	(215, 0.0018848511189363231)	(220, 0.0017740188289923462)	(225, 0.0046569181846002365)	(230, 0.006209499647389127)	(235, 0.0)	(240, 0.00543358934040661)	(245, 0.008649559759586596)	(250, 0.005766392356425147)	(255, 0.002107011802592955)	(260, 0.000332694190826734)	(265, 0.001441710001142278)	(270, 0.0028834615734384395)	(275, 0.0)	(280, 0.0)	(285, 0.0)	(290, 0.0002218249091626997)	(295, 0.0006759261032522185)	(300, 0.0)
SRR32802191_2	(1, 0.4442179659026708)	(2, 0.006646652856399066)	(3, 0.006092765118365809)	(4, 0.004984989642299298)	(5, 0.004984989642299298)	(6, 0.004984989642299298)	(7, 0.004984989642299298)	(8, 0.004984989642299298)	(9, 0.004984989642299298)	(10, 0.004984989642299298)	(15, 0.004984989642299298)	(20, 0.00509576718990595)	(25, 0.004984989642299298)	(30, 0.004984989642299298)	(35, 0.0009970376902403305)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0006646984207873353)	(60, 0.0011078307013122255)	(65, 0.0)	(70, 0.0)	(75, 0.0011078307013122255)	(80, 0.004209756664986457)	(85, 0.0)	(90, 0.0008862645610497804)	(95, 0.0)	(100, 0.0002215661402624451)	(105, 0.0002215661402624451)	(110, 0.0008862665247163117)	(115, 0.0007754857864533712)	(120, 0.00033235105133715907)	(125, 0.00011078368377905303)	(130, 0.0)	(135, 0.00022156736755810606)	(140, 0.00033235105133715907)	(145, 0.0027696381190833604)	(150, 0.00011078675212018148)	(155, 0.000664724194852819)	(160, 0.000664724194852819)	(165, 0.00011079939547849826)	(170, 0.0)	(175, 0.0013296693555535858)	(180, 0.00022161524269639264)	(185, 0.0004433007285647474)	(190, 0.0006649717276187141)	(195, 0.0005541455629564774)	(200, 0.000997589159531133)	(205, 0.00033253856616021046)	(210, 0.000443393601608632)	(215, 0.000332550361981069)	(220, 0.0)	(225, 0.0)	(230, 0.0004434122791945416)	(235, 0.0012193932299287874)	(240, 0.0006651361145630444)	(245, 0.0026605474076291198)	(250, 0.0014411298457991065)	(255, 0.002660576901758198)	(260, 0.0)	(265, 0.00011085970593354403)	(270, 0.0014411777748215156)	(275, 0.0011086167234832737)	(280, 0.006762614493280621)	(285, 0.007538677294723481)	(290, 0.0)	(295, 0.0014424490565828382)	(300, 0.0)
