Sample	0
SRR32802187_1	(30.0, 209616.0)
SRR32802187_2	(30.0, 209616.0)
SRR32802188_1	(30.0, 139440.0)
SRR32802188_2	(30.0, 139440.0)
SRR32802189_1	(30.0, 117619.0)
SRR32802189_2	(30.0, 117619.0)
SRR32802190_1	(30.0, 155346.0)
SRR32802190_2	(30.0, 155346.0)
SRR32802191_1	(30.0, 180542.0)
SRR32802191_2	(30.0, 180542.0)
SRR32802192_1	(30.0, 202898.0)
SRR32802192_2	(30.0, 202898.0)
SRR32802193_1	(30.0, 182155.0)
SRR32802193_2	(30.0, 182155.0)
SRR32802194_1	(30.0, 206200.0)
SRR32802194_2	(30.0, 206200.0)
SRR32802195_1	(30.0, 224554.0)
SRR32802195_2	(30.0, 224554.0)
SRR32802196_1	(30.0, 175720.0)
SRR32802196_2	(30.0, 175720.0)
SRR32802197_1	(30.0, 148498.0)
SRR32802197_2	(30.0, 148498.0)
SRR32802198_1	(30.0, 200614.0)
SRR32802198_2	(30.0, 200614.0)
SRR32802199_1	(30.0, 178096.0)
SRR32802199_2	(30.0, 178096.0)
SRR32802200_1	(30.0, 182687.0)
SRR32802200_2	(30.0, 182687.0)
SRR32802201_1	(30.0, 95681.0)
SRR32802201_2	(30.0, 95681.0)
SRR32802202_1	(30.0, 97863.0)
SRR32802202_2	(30.0, 97863.0)
SRR32802203_1	(30.0, 110792.0)
SRR32802203_2	(30.0, 110792.0)
SRR32802204_1	(30.0, 153205.0)
SRR32802204_2	(30.0, 153205.0)
SRR32802205_1	(30.0, 118983.0)
SRR32802205_2	(30.0, 118983.0)
SRR32802206_1	(30.0, 117871.0)
SRR32802206_2	(30.0, 117871.0)
SRR32802207_1	(30.0, 131508.0)
SRR32802207_2	(30.0, 131508.0)
SRR32802208_1	(30.0, 214223.0)
SRR32802208_2	(30.0, 214223.0)
SRR32802209_1	(30.0, 214968.0)
SRR32802209_2	(30.0, 214968.0)
SRR32802210_1	(30.0, 199865.0)
SRR32802210_2	(30.0, 199865.0)
SRR32802211_1	(30.0, 161390.0)
SRR32802211_2	(30.0, 161390.0)
SRR32802212_1	(30.0, 165908.0)
SRR32802212_2	(30.0, 165908.0)
SRR32802213_1	(30.0, 186693.0)
SRR32802213_2	(30.0, 186693.0)
SRR32802214_1	(30.0, 149479.0)
SRR32802214_2	(30.0, 149479.0)
SRR32802215_1	(30.0, 147908.0)
SRR32802215_2	(30.0, 147908.0)
SRR32802216_1	(30.0, 187269.0)
SRR32802216_2	(30.0, 187269.0)
SRR32802217_1	(30.0, 130530.0)
SRR32802217_2	(30.0, 130530.0)
SRR32802218_1	(30.0, 171639.0)
SRR32802218_2	(30.0, 171639.0)
SRR32802219_1	(30.0, 97921.0)
SRR32802219_2	(30.0, 97921.0)
SRR32802220_1	(30.0, 226722.0)
SRR32802220_2	(30.0, 226722.0)
SRR32802221_1	(30.0, 109826.0)
SRR32802221_2	(30.0, 109826.0)
SRR32802222_1	(30.0, 141892.0)
SRR32802222_2	(30.0, 141892.0)
SRR32802223_1	(30.0, 127968.0)
SRR32802223_2	(30.0, 127968.0)
SRR32802224_1	(30.0, 177018.0)
SRR32802224_2	(30.0, 177018.0)
SRR32802225_1	(30.0, 132779.0)
SRR32802225_2	(30.0, 132779.0)
SRR32802226_1	(30.0, 163285.0)
SRR32802226_2	(30.0, 163285.0)
SRR32802227_1	(30.0, 97169.0)
SRR32802227_2	(30.0, 97169.0)
SRR32802228_1	(30.0, 125689.0)
SRR32802228_2	(30.0, 125689.0)
SRR32802229_1	(30.0, 172862.0)
SRR32802229_2	(30.0, 172862.0)
SRR32802230_1	(30.0, 164707.0)
SRR32802230_2	(30.0, 164707.0)
SRR32802231_1	(30.0, 212013.0)
SRR32802231_2	(30.0, 212013.0)
SRR32802232_1	(30.0, 123339.0)
SRR32802232_2	(30.0, 123339.0)
SRR32802233_1	(30.0, 185076.0)
SRR32802233_2	(30.0, 185076.0)
SRR32802234_1	(30.0, 140843.0)
SRR32802234_2	(30.0, 140843.0)
SRR32802235_1	(30.0, 116644.0)
SRR32802235_2	(30.0, 116644.0)
SRR32802236_1	(30.0, 174729.0)
SRR32802236_2	(30.0, 174729.0)
SRR32802237_1	(30.0, 179264.0)
SRR32802237_2	(30.0, 179264.0)
SRR32802238_1	(30.0, 194755.0)
SRR32802238_2	(30.0, 194755.0)
SRR32802239_1	(30.0, 190944.0)
SRR32802239_2	(30.0, 190944.0)
SRR32802240_1	(30.0, 176016.0)
SRR32802240_2	(30.0, 176016.0)
SRR32802241_1	(30.0, 216804.0)
SRR32802241_2	(30.0, 216804.0)
SRR32802242_1	(30.0, 207057.0)
SRR32802242_2	(30.0, 207057.0)
SRR32802243_1	(30.0, 187889.0)
SRR32802243_2	(30.0, 187889.0)
SRR32802244_1	(30.0, 186894.0)
SRR32802244_2	(30.0, 186894.0)
SRR32802245_1	(30.0, 238187.0)
SRR32802245_2	(30.0, 238187.0)
SRR32802246_1	(30.0, 236519.0)
SRR32802246_2	(30.0, 236519.0)
