Sample	Unique Reads	Duplicate Reads
SRR32802187_1	17873.0	191743.0
SRR32802187_2	38539.0	171077.0
SRR32802188_1	12248.0	127192.0
SRR32802188_2	24768.0	114672.0
SRR32802189_1	10558.0	107061.0
SRR32802189_2	19184.0	98435.0
SRR32802190_1	15185.0	140161.0
SRR32802190_2	27113.0	128233.0
SRR32802191_1	17195.0	163347.0
SRR32802191_2	31019.0	149523.0
SRR32802192_1	16223.0	186675.0
SRR32802192_2	30721.0	172177.0
SRR32802193_1	17631.0	164524.0
SRR32802193_2	42407.0	139748.0
SRR32802194_1	20341.0	185859.0
SRR32802194_2	35790.0	170410.0
SRR32802195_1	17139.0	207415.0
SRR32802195_2	32257.0	192297.0
SRR32802196_1	18244.0	157476.0
SRR32802196_2	30166.0	145554.0
SRR32802197_1	11456.0	137042.0
SRR32802197_2	21985.0	126513.0
SRR32802198_1	18729.0	181885.0
SRR32802198_2	37187.0	163427.0
SRR32802199_1	17342.0	160754.0
SRR32802199_2	33580.0	144516.0
SRR32802200_1	18223.0	164464.0
SRR32802200_2	34729.0	147958.0
SRR32802201_1	10486.0	85195.0
SRR32802201_2	17729.0	77952.0
SRR32802202_1	10250.0	87613.0
SRR32802202_2	15555.0	82308.0
SRR32802203_1	10580.0	100212.0
SRR32802203_2	17788.0	93004.0
SRR32802204_1	13424.0	139781.0
SRR32802204_2	22747.0	130458.0
SRR32802205_1	10347.0	108636.0
SRR32802205_2	18655.0	100328.0
SRR32802206_1	11705.0	106166.0
SRR32802206_2	19525.0	98346.0
SRR32802207_1	13305.0	118203.0
SRR32802207_2	25541.0	105967.0
SRR32802208_1	20410.0	193813.0
SRR32802208_2	29782.0	184441.0
SRR32802209_1	18321.0	196647.0
SRR32802209_2	25584.0	189384.0
SRR32802210_1	18269.0	181596.0
SRR32802210_2	31758.0	168107.0
SRR32802211_1	14690.0	146700.0
SRR32802211_2	24215.0	137175.0
SRR32802212_1	18531.0	147377.0
SRR32802212_2	27585.0	138323.0
SRR32802213_1	17933.0	168760.0
SRR32802213_2	35572.0	151121.0
SRR32802214_1	14755.0	134724.0
SRR32802214_2	25672.0	123807.0
SRR32802215_1	14502.0	133406.0
SRR32802215_2	26997.0	120911.0
SRR32802216_1	17205.0	170064.0
SRR32802216_2	32719.0	154550.0
SRR32802217_1	13361.0	117169.0
SRR32802217_2	24337.0	106193.0
SRR32802218_1	15520.0	156119.0
SRR32802218_2	29103.0	142536.0
SRR32802219_1	9634.0	88287.0
SRR32802219_2	18391.0	79530.0
SRR32802220_1	19271.0	207451.0
SRR32802220_2	33895.0	192827.0
SRR32802221_1	10144.0	99682.0
SRR32802221_2	18814.0	91012.0
SRR32802222_1	13956.0	127936.0
SRR32802222_2	23108.0	118784.0
SRR32802223_1	13379.0	114589.0
SRR32802223_2	20713.0	107255.0
SRR32802224_1	16946.0	160072.0
SRR32802224_2	26244.0	150774.0
SRR32802225_1	11433.0	121346.0
SRR32802225_2	20767.0	112012.0
SRR32802226_1	16241.0	147044.0
SRR32802226_2	26084.0	137201.0
SRR32802227_1	9568.0	87601.0
SRR32802227_2	16607.0	80562.0
SRR32802228_1	13614.0	112075.0
SRR32802228_2	17693.0	107996.0
SRR32802229_1	15471.0	157391.0
SRR32802229_2	24644.0	148218.0
SRR32802230_1	14944.0	149763.0
SRR32802230_2	23046.0	141661.0
SRR32802231_1	19082.0	192931.0
SRR32802231_2	29109.0	182904.0
SRR32802232_1	9825.0	113514.0
SRR32802232_2	16903.0	106436.0
SRR32802233_1	15433.0	169643.0
SRR32802233_2	24304.0	160772.0
SRR32802234_1	15589.0	125254.0
SRR32802234_2	20248.0	120595.0
SRR32802235_1	8122.0	108522.0
SRR32802235_2	18342.0	98302.0
SRR32802236_1	17468.0	157261.0
SRR32802236_2	32838.0	141891.0
SRR32802237_1	15695.0	163569.0
SRR32802237_2	22287.0	156977.0
SRR32802238_1	18499.0	176256.0
SRR32802238_2	26436.0	168319.0
SRR32802239_1	16854.0	174090.0
SRR32802239_2	25077.0	165867.0
SRR32802240_1	15408.0	160608.0
SRR32802240_2	22024.0	153992.0
SRR32802241_1	20241.0	196563.0
SRR32802241_2	31550.0	185254.0
SRR32802242_1	19920.0	187137.0
SRR32802242_2	33337.0	173720.0
SRR32802243_1	15760.0	172129.0
SRR32802243_2	28516.0	159373.0
SRR32802244_1	16565.0	170329.0
SRR32802244_2	27142.0	159752.0
SRR32802245_1	19244.0	218943.0
SRR32802245_2	30224.0	207963.0
SRR32802246_1	16407.0	220112.0
SRR32802246_2	26243.0	210276.0
