Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR32802187_1	(1.0, 5.90746889550416)	(2.0, 2.238378749713762)	(3.0, 1.2852072360888482)	(4.0, 0.8739790855659874)	(5.0, 0.7394473704297382)	(6.0, 0.535264483627204)	(7.0, 0.5543469964124876)	(8.0, 0.46561331196091904)	(9.0, 0.43794366842225785)	('>10', 5.967101747958171)	('>50', 2.4964697351347227)	('>100', 13.871078543622625)	('>500', 9.661953286008702)	('>1k', 28.590851843370736)	('>5k', 10.688115411037327)	('>10k+', 15.686779635142356)
SRR32802187_2	(1.0, 14.927772689107702)	(2.0, 3.027440653385238)	(3.0, 1.887737577284177)	(4.0, 1.316693382184566)	(5.0, 0.968437523853141)	(6.0, 0.7556675062972292)	(7.0, 0.62113579116098)	(8.0, 0.4503473017326922)	(9.0, 0.4250629722921915)	('>10', 5.259140523624151)	('>50', 4.123731012899778)	('>100', 20.541370887718493)	('>500', 16.368025341576978)	('>1k', 29.327436836882683)	('>5k', 0.0)	('>10k+', 0.0)
SRR32802188_1	(1.0, 5.946643717728055)	(2.0, 2.4010327022375213)	(3.0, 1.5210843373493976)	(4.0, 0.9523809523809524)	(5.0, 0.7781124497991967)	(6.0, 0.598106712564544)	(7.0, 0.46184738955823296)	(8.0, 0.527825588066552)	(9.0, 0.34853700516351116)	('>10', 6.152467010900746)	('>50', 3.6567699368904187)	('>100', 15.731497418244405)	('>500', 11.814400458978772)	('>1k', 36.86101549053356)	('>5k', 4.252008032128514)	('>10k+', 7.996270797475617)
SRR32802188_2	(1.0, 13.927854274239818)	(2.0, 3.439472174411933)	(3.0, 2.0051635111876074)	(4.0, 1.316695352839931)	(5.0, 1.0900745840504877)	(6.0, 0.8734939759036146)	(7.0, 0.5873493975903614)	(8.0, 0.5909351692484223)	(9.0, 0.40662650602409633)	('>10', 6.490246701090074)	('>50', 5.483362019506598)	('>100', 27.117039586919105)	('>500', 12.843516924842227)	('>1k', 23.828169822145725)	('>5k', 0.0)	('>10k+', 0.0)
SRR32802189_1	(1.0, 6.166520715190573)	(2.0, 2.4349807429071832)	(3.0, 1.5023083005296762)	(4.0, 0.9046157508565793)	(5.0, 0.7609314821584948)	(6.0, 0.5662350470587235)	(7.0, 0.4642107142553499)	(8.0, 0.46251030870862697)	(9.0, 0.4514576726549282)	('>10', 5.811135955925488)	('>50', 3.2044142527992925)	('>100', 17.77178857157432)	('>500', 10.89024732398677)	('>1k', 32.73450717996242)	('>5k', 4.6336051148198845)	('>10k+', 11.240530866611687)
SRR32802189_2	(1.0, 12.71818328671388)	(2.0, 3.2086652666660997)	(3.0, 1.897652590142749)	(4.0, 1.2991098376962904)	(5.0, 0.9182189952303625)	(6.0, 0.6835630297826032)	(7.0, 0.6070447801800729)	(8.0, 0.5441297749513259)	(9.0, 0.367287598092145)	('>10', 6.40032647786497)	('>50', 4.773888572424523)	('>100', 24.95940281757199)	('>500', 14.293609025752643)	('>1k', 27.328917946930343)	('>5k', 0.0)	('>10k+', 0.0)
SRR32802190_1	(1.0, 6.761680377994928)	(2.0, 2.53627386607959)	(3.0, 1.58549302846549)	(4.0, 1.2127766405314588)	(5.0, 0.8207485226526593)	(6.0, 0.6681858560889885)	(7.0, 0.5542466494148546)	(8.0, 0.5098296705418871)	(9.0, 0.4055463288401375)	('>10', 5.881065492513486)	('>50', 3.1735609542569487)	('>100', 16.022298610842892)	('>500', 14.450967517670232)	('>1k', 36.94591428166802)	('>5k', 8.471412202438428)	('>10k+', 0.0)
SRR32802190_2	(1.0, 13.746089374686186)	(2.0, 3.2211965547873778)	(3.0, 2.0644239310957477)	(4.0, 1.2719992790287487)	(5.0, 0.9012140640891944)	(6.0, 0.7145340079564327)	(7.0, 0.6939348293486797)	(8.0, 0.6025259742767757)	(9.0, 0.5098296705418871)	('>10', 6.837639849111017)	('>50', 5.5321669048446696)	('>100', 24.78660538411031)	('>500', 14.732275050532358)	('>1k', 24.385565125590617)	('>5k', 0.0)	('>10k+', 0.0)
SRR32802191_1	(1.0, 6.572431899502609)	(2.0, 2.509111453290647)	(3.0, 1.4539553123372955)	(4.0, 1.1033443741622448)	(5.0, 0.7920594653875552)	(6.0, 0.6546953063553079)	(7.0, 0.5970909815998493)	(8.0, 0.5583188399375214)	(9.0, 0.48852898494533126)	('>10', 6.1675399630003)	('>50', 3.0109337439487764)	('>100', 14.571124724440851)	('>500', 11.427811811102126)	('>1k', 39.31993663524277)	('>5k', 10.773116504746818)	('>10k+', 0.0)
SRR32802191_2	(1.0, 13.714814281441438)	(2.0, 3.1228190670314944)	(3.0, 1.8660477894340375)	(4.0, 1.238492982242359)	(5.0, 0.8751426260925436)	(6.0, 0.7377784670602963)	(7.0, 0.6164770524310133)	(8.0, 0.46969680185220064)	(9.0, 0.44366407816463754)	('>10', 4.9700346733724015)	('>50', 3.77031383279237)	('>100', 29.240287578513584)	('>500', 24.261944589070687)	('>1k', 14.672486180500934)	('>5k', 0.0)	('>10k+', 0.0)
