Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
SRR32802187_1	(30, 8.0)	(40, 1.0)	(50, 0.0)	(60, 0.0)	(70, 5.0)	(80, 0.0)	(90, 1.0)	(100, 1.0)	(110, 0.0)	(120, 2.0)	(130, 3.0)	(140, 12.0)	(150, 1.0)	(160, 48.0)	(170, 10.0)	(180, 151.0)	(190, 40.0)	(200, 144.0)	(210, 4.0)	(220, 83.0)	(230, 12.0)	(240, 3.0)	(250, 4.0)	(260, 5.0)	(270, 21.0)	(280, 41.0)	(290, 13362.0)	(300, 195654.0)
SRR32802187_2	(30, 6.0)	(40, 1.0)	(50, 0.0)	(60, 0.0)	(70, 4.0)	(80, 0.0)	(90, 2.0)	(100, 1.0)	(110, 0.0)	(120, 1.0)	(130, 1.0)	(140, 9.0)	(150, 0.0)	(160, 32.0)	(170, 6.0)	(180, 108.0)	(190, 32.0)	(200, 108.0)	(210, 1.0)	(220, 24.0)	(230, 7.0)	(240, 0.0)	(250, 2.0)	(260, 3.0)	(270, 1.0)	(280, 7.0)	(290, 2854.0)	(300, 206406.0)
SRR32802188_1	(301, 139440.0)																											
SRR32802188_2	(301, 139440.0)																											
SRR32802189_1	(301, 117619.0)																											
SRR32802189_2	(301, 117619.0)																											
SRR32802190_1	(301, 155346.0)																											
SRR32802190_2	(301, 155346.0)																											
SRR32802191_1	(30, 10.0)	(40, 0.0)	(50, 0.0)	(60, 0.0)	(70, 0.0)	(80, 0.0)	(90, 0.0)	(100, 0.0)	(110, 1.0)	(120, 2.0)	(130, 0.0)	(140, 5.0)	(150, 1.0)	(160, 38.0)	(170, 3.0)	(180, 47.0)	(190, 12.0)	(200, 33.0)	(210, 7.0)	(220, 13.0)	(230, 8.0)	(240, 6.0)	(250, 8.0)	(260, 9.0)	(270, 12.0)	(280, 4.0)	(290, 9806.0)	(300, 170517.0)
SRR32802191_2	(30, 9.0)	(40, 0.0)	(50, 0.0)	(60, 0.0)	(70, 0.0)	(80, 0.0)	(90, 0.0)	(100, 0.0)	(110, 1.0)	(120, 0.0)	(130, 0.0)	(140, 5.0)	(150, 1.0)	(160, 30.0)	(170, 0.0)	(180, 35.0)	(190, 11.0)	(200, 22.0)	(210, 5.0)	(220, 4.0)	(230, 4.0)	(240, 1.0)	(250, 4.0)	(260, 2.0)	(270, 3.0)	(280, 2.0)	(290, 2688.0)	(300, 177715.0)
SRR32802192_1	(30, 7.0)	(40, 0.0)	(50, 0.0)	(60, 0.0)	(70, 0.0)	(80, 0.0)	(90, 0.0)	(100, 0.0)	(110, 0.0)	(120, 0.0)	(130, 3.0)	(140, 4.0)	(150, 0.0)	(160, 53.0)	(170, 3.0)	(180, 58.0)	(190, 18.0)	(200, 56.0)	(210, 8.0)	(220, 34.0)	(230, 14.0)	(240, 4.0)	(250, 6.0)	(260, 15.0)	(270, 14.0)	(280, 21.0)	(290, 4923.0)	(300, 197657.0)
SRR32802192_2	(30, 7.0)	(40, 0.0)	(50, 0.0)	(60, 0.0)	(70, 0.0)	(80, 0.0)	(90, 0.0)	(100, 0.0)	(110, 0.0)	(120, 0.0)	(130, 2.0)	(140, 3.0)	(150, 0.0)	(160, 49.0)	(170, 3.0)	(180, 38.0)	(190, 11.0)	(200, 41.0)	(210, 8.0)	(220, 20.0)	(230, 6.0)	(240, 2.0)	(250, 4.0)	(260, 4.0)	(270, 4.0)	(280, 4.0)	(290, 2674.0)	(300, 200018.0)
SRR32802193_1	(30, 7.0)	(40, 0.0)	(50, 1.0)	(60, 0.0)	(70, 1.0)	(80, 1.0)	(90, 0.0)	(100, 0.0)	(110, 0.0)	(120, 0.0)	(130, 1.0)	(140, 7.0)	(150, 0.0)	(160, 24.0)	(170, 3.0)	(180, 18.0)	(190, 7.0)	(200, 23.0)	(210, 2.0)	(220, 17.0)	(230, 5.0)	(240, 3.0)	(250, 8.0)	(260, 5.0)	(270, 6.0)	(280, 7.0)	(290, 13759.0)	(300, 168250.0)
SRR32802193_2	(30, 9.0)	(40, 0.0)	(50, 1.0)	(60, 0.0)	(70, 1.0)	(80, 0.0)	(90, 0.0)	(100, 0.0)	(110, 0.0)	(120, 1.0)	(130, 1.0)	(140, 6.0)	(150, 0.0)	(160, 19.0)	(170, 2.0)	(180, 12.0)	(190, 5.0)	(200, 15.0)	(210, 1.0)	(220, 9.0)	(230, 4.0)	(240, 1.0)	(250, 3.0)	(260, 2.0)	(270, 0.0)	(280, 2.0)	(290, 3387.0)	(300, 178674.0)
SRR32802194_1	(30, 13.0)	(40, 0.0)	(50, 0.0)	(60, 0.0)	(70, 0.0)	(80, 0.0)	(90, 1.0)	(100, 0.0)	(110, 0.0)	(120, 3.0)	(130, 3.0)	(140, 15.0)	(150, 2.0)	(160, 22.0)	(170, 4.0)	(180, 55.0)	(190, 25.0)	(200, 38.0)	(210, 8.0)	(220, 45.0)	(230, 12.0)	(240, 6.0)	(250, 9.0)	(260, 16.0)	(270, 6.0)	(280, 15.0)	(290, 14437.0)	(300, 191465.0)
SRR32802194_2	(30, 15.0)	(40, 0.0)	(50, 0.0)	(60, 0.0)	(70, 0.0)	(80, 0.0)	(90, 1.0)	(100, 0.0)	(110, 0.0)	(120, 1.0)	(130, 3.0)	(140, 13.0)	(150, 2.0)	(160, 13.0)	(170, 4.0)	(180, 41.0)	(190, 21.0)	(200, 29.0)	(210, 4.0)	(220, 21.0)	(230, 7.0)	(240, 2.0)	(250, 4.0)	(260, 7.0)	(270, 1.0)	(280, 5.0)	(290, 2876.0)	(300, 203130.0)
