Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR32802187_1	SRR32802187_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	209616.0	62.9 Mbp	0.0	35-301	54.0	8.52654377528433	300.30118406991835	301	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR32802187_2	SRR32802187_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	209616.0	62.8 Mbp	0.0	35-301	54.0	18.385524005801084	300.7235659491642	301	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
SRR32802188_1	SRR32802188_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	139440.0	41.9 Mbp	0.0	301.0	53.0	8.783706253585772	301.0	301	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
SRR32802188_2	SRR32802188_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	139440.0	41.9 Mbp	0.0	301.0	53.0	17.76247848537005	301.0	301	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
SRR32802189_1	SRR32802189_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	117619.0	35.4 Mbp	0.0	301.0	53.0	8.976440881150154	301.0	301	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR32802189_2	SRR32802189_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	117619.0	35.4 Mbp	0.0	301.0	53.0	16.310290004165996	301.0	301	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
SRR32802190_1	SRR32802190_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	155346.0	46.7 Mbp	0.0	301.0	53.0	9.774953973710298	301.0	301	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR32802190_2	SRR32802190_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	155346.0	46.7 Mbp	0.0	301.0	53.0	17.453297799750235	301.0	301	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
SRR32802191_1	SRR32802191_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	180542.0	54.2 Mbp	0.0	35-301	53.0	9.524099655481827	300.51849154213426	301	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR32802191_2	SRR32802191_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	180542.0	54.1 Mbp	0.0	35-301	52.0	17.180489858315518	300.81231237052873	301	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
