Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR32802187_1	91.47345622471568	54.0	300.30118406991835	301	36.36363636363637	0.209616
SRR32802187_2	81.61447599419891	54.0	300.7235659491642	301	27.27272727272727	0.209616
SRR32802188_1	91.21629374641422	53.0	301.0	301	27.27272727272727	0.13943999999999998
SRR32802188_2	82.23752151462995	53.0	301.0	301	27.27272727272727	0.13943999999999998
SRR32802189_1	91.02355911884985	53.0	301.0	301	36.36363636363637	0.117619
SRR32802189_2	83.68970999583401	53.0	301.0	301	27.27272727272727	0.117619
SRR32802190_1	90.2250460262897	53.0	301.0	301	36.36363636363637	0.15534599999999998
SRR32802190_2	82.54670220024977	53.0	301.0	301	27.27272727272727	0.15534599999999998
SRR32802191_1	90.47590034451818	53.0	300.51849154213426	301	36.36363636363637	0.18054199999999998
SRR32802191_2	82.81951014168448	52.0	300.81231237052873	301	36.36363636363637	0.18054199999999998
SRR32802192_1	92.00435686896864	54.0	300.6910935543968	301	27.27272727272727	0.202898
SRR32802192_2	84.85889461699968	54.0	300.8033001803862	301	27.27272727272727	0.202898
SRR32802193_1	90.3208805687464	53.0	300.42481677692075	301	27.27272727272727	0.18215499999999998
SRR32802193_2	76.71927753836019	53.0	300.8147923471769	301	18.181818181818183	0.18215499999999998
SRR32802194_1	90.135305528613	53.0	300.39812075654703	301	36.36363636363637	0.2062
SRR32802194_2	82.64306498545102	53.0	300.80080019398645	301	36.36363636363637	0.2062
SRR32802195_1	92.36753742974963	54.0	300.8407420932159	301	36.36363636363637	0.224554
SRR32802195_2	85.63508109407982	53.0	300.83386624152763	301	36.36363636363637	0.224554
SRR32802196_1	89.61757341224676	53.0	300.379956749374	301	36.36363636363637	0.17572
SRR32802196_2	82.83291600273162	53.0	300.81353289323926	301	27.27272727272727	0.17572
SRR32802197_1	92.28541798542742	53.0	300.79546189174266	301	36.36363636363637	0.148498
SRR32802197_2	85.19508680251586	53.0	300.84989696830934	301	36.36363636363637	0.148498
SRR32802198_1	90.66416102565125	53.0	300.5378488041712	301	36.36363636363637	0.200614
SRR32802198_2	81.46340733946784	53.0	300.79268645259054	301	27.27272727272727	0.200614
SRR32802199_1	90.26255502650255	53.0	300.3651233042853	301	27.27272727272727	0.178096
SRR32802199_2	81.14500044919595	53.0	300.81330013026684	301	27.27272727272727	0.178096
SRR32802200_1	90.02501546360715	53.0	300.5249716728612	301	27.27272727272727	0.182687
SRR32802200_2	80.98988981153558	53.0	300.87120867932583	301	36.36363636363637	0.182687
SRR32802201_1	89.04066638099518	53.0	301.0	301	27.27272727272727	0.095681
SRR32802201_2	81.47072041471138	53.0	301.0	301	27.27272727272727	0.095681
SRR32802202_1	89.52617434576908	55.0	301.0	301	27.27272727272727	0.09786299999999999
SRR32802202_2	84.10533092179884	54.0	301.0	301	36.36363636363637	0.09786299999999999
SRR32802203_1	90.45057404866778	54.0	301.0	301	27.27272727272727	0.110792
SRR32802203_2	83.94468914723085	54.0	301.0	301	27.27272727272727	0.110792
SRR32802204_1	91.23788388107438	53.0	301.0	301	36.36363636363637	0.15320499999999998
