sample ID	forward sequence count	reverse sequence count
SRR32802187	200432	200432
SRR32802188	134920	134920
SRR32802189	113453	113453
SRR32802190	150204	150204
SRR32802191	173828	173828
SRR32802192	195820	195820
SRR32802193	174394	174394
SRR32802194	198790	198790
SRR32802195	216390	216390
SRR32802196	169024	169024
SRR32802197	142746	142746
SRR32802198	192149	192149
SRR32802199	171502	171502
SRR32802200	176007	176007
SRR32802201	92398	92398
SRR32802202	94603	94603
SRR32802203	107009	107009
SRR32802204	147845	147845
SRR32802205	114889	114889
SRR32802206	113934	113934
SRR32802207	126541	126541
SRR32802208	207105	207105
SRR32802209	208621	208621
SRR32802210	192272	192272
SRR32802211	155828	155828
SRR32802212	159646	159646
SRR32802213	179664	179664
SRR32802214	144568	144568
SRR32802215	142812	142812
SRR32802216	180570	180570
SRR32802217	126186	126186
SRR32802218	165504	165504
SRR32802219	94331	94331
SRR32802220	218948	218948
SRR32802221	105797	105797
SRR32802222	136533	136533
SRR32802223	123715	123715
SRR32802224	170665	170665
SRR32802225	128247	128247
SRR32802226	157218	157218
SRR32802227	93469	93469
SRR32802228	121702	121702
SRR32802229	167231	167231
SRR32802230	158826	158826
SRR32802231	204278	204278
SRR32802232	118935	118935
SRR32802233	178510	178510
SRR32802234	136254	136254
SRR32802235	110032	110032
SRR32802236	167863	167863
SRR32802237	173482	173482
SRR32802238	188660	188660
SRR32802239	184499	184499
SRR32802240	170429	170429
SRR32802241	208624	208624
SRR32802242	198683	198683
SRR32802243	181044	181044
SRR32802244	180564	180564
SRR32802245	230614	230614
SRR32802246	228128	228128
